agentID	agentType	preferredAgentName
id.gbif.ch/2432601827	Collection	MHNG Mammals and Birds Collection
id.gbif.ch/44776251	Museum	Muséum d'histoire naturelle de la Ville de Genève
id.gbif.ch/3220702975	Person	Aellen Villy
id.gbif.ch/2033426430	Person	Andriollo Tommy
id.gbif.ch/1998402006	Person	Besuchet Claude
id.gbif.ch/3725769589	Person	Melly André
id.gbif.ch/1092388659	Person	Monard Albert
id.gbif.ch/411903002	Person	Ruedi Manuel
id.gbif.ch/685346079	Person	Uldry Valéry
id.gbif.ch/665262062	Person	Vaucher Claude
