identification_id	identification_based_on_occurrence_id	identification_based_on_material_entity_id	identification_based_on_genetic_sequence_id	identification_based_on_media_id	identification_type	identification_type_iri	identification_type_vocabulary	verbatim_identification	is_accepted_identification	taxon_formula	type_status	type_designation_type	identified_by	identified_by_id	date_identified	identification_references	identification_verification_status	identification_remarks	taxon_id	kingdom	scientific_name	taxon_rank	taxon_remarks
id.gbif.ch/2740175633		id.gbif.ch/989939123			Morphological			"Pattonomys semivillosus (I. Geoffroy, 1838)"		A			Manuel Ruedi	id.gbif.ch/411903002						Animalia	"Pattonomys semivillosus (I. Geoffroy, 1838)"	species	
id.gbif.ch/1988199675		id.gbif.ch/2281451594			Morphological			"Myotis nattereri nattereri (Kuhl, 1817)"		A										Animalia	"Myotis nattereri nattereri (Kuhl, 1817)"	subspecies	
id.gbif.ch/2430905717		id.gbif.ch/2062472674			Morphological			"Barbastella barbastellus (Schreber, 1774)"		A			Manuel Ruedi	id.gbif.ch/411903002					id.gbif.ch/2185325625	Animalia	"Barbastella barbastellus (Schreber, 1774)"	species	
id.gbif.ch/4097053279		id.gbif.ch/397850255			Morphological			"Sorex coronatus Millet, 1828"		A									id.gbif.ch/490682469	Animalia	"Sorex coronatus Millet, 1828"	species	
id.gbif.ch/3912853806		id.gbif.ch/331991340			Morphological			"Rhinolophus namuli Curran, Kopp, Ruedi & Bayliss, 2022"		A										Animalia	"Rhinolophus namuli Curran, Kopp, Ruedi & Bayliss, 2022"	species	
id.gbif.ch/3114826612		id.gbif.ch/331991340			Morphological			Rhinolophus namuli		A	Holotype							"Curran M, Kopp M, Ruedi M, Bayliss J (2022) A New Species of Horseshoe Bat (Chiroptera: Rhinolophidae) from Mount Namuli, Mozambique. Acta Chiropterologica 24(1), 19-40, (18 August 2022). https://doi.org/10.3161/15081109ACC2022.24.1.002"		Animalia	Rhinolophus namuli	species	
id.gbif.ch/2939634530		id.gbif.ch/4109704260			Morphological			"Pipistrellus kuhlii (Kuhl, 1817)"		A									id.gbif.ch/676564291	Animalia	"Pipistrellus kuhlii (Kuhl, 1817)"	species	
id.gbif.ch/2126639150		id.gbif.ch/2690550298			Morphological			"Neomys fodiens (Pennant, 1771)"		A									id.gbif.ch/2563949255	Animalia	"Neomys fodiens (Pennant, 1771)"	species	
id.gbif.ch/3526689756		id.gbif.ch/3151586005			Morphological			"Petaurista philippensis oral (Tickell, 1842)"		A										Animalia	"Petaurista philippensis oral (Tickell, 1842)"	subspecies	
id.gbif.ch/1267512849		id.gbif.ch/3445821799			Morphological			"Chlorocebus sabaeus callitrichus (I. Geoffroy, 1851)"		A										Animalia	"Chlorocebus sabaeus callitrichus (I. Geoffroy, 1851)"	subspecies	
