material_entity_id	material_entity_type	material_entity_type_iri	material_entity_type_vocabulary	institution_code	institution_id	owner_institution_code	owner_institution_id	collection_code	collection_id	catalog_number	other_catalog_numbers	record_number	preparations	disposition	verbatim_label	associated_sequences	material_citation	material_entity_remarks	material_gathering_id	evidence_for_occurrence_id	derived_from_material_entity_id	derivation_type	derivation_type_iri	derivation_type_vocabulary	part_of_material_entity_id
id.gbif.ch/1476763696	Part of Organism			MHNG	id.gbif.ch/44776251	MHNG		MHNG-MAMO	id.gbif.ch/2432601827	MHNG-MAM-326.027	MHNG 326.027		mounted												
id.gbif.ch/989939123	Organism			MHNG	id.gbif.ch/44776251	MHNG		MHNG-MAMO	id.gbif.ch/2432601827	MHNG-MAM-1079.094	MHNG 1079.094								641cb479-2be0-4605-9d6e-accae0ebf40c	id.gbif.ch/1044215467					
id.gbif.ch/2281451594	Organism			MHNG	id.gbif.ch/44776251	MHNG		MHNG-MAMO	id.gbif.ch/2432601827	MHNG-MAM-1714.044	MHNG 1714.044								9fef52ed-c8bb-4e5a-a14c-e69b4b2f01e6	id.gbif.ch/412963505					
id.gbif.ch/331991340	Organism			MHNG	id.gbif.ch/44776251	MHNG		MHNG-MAMO	id.gbif.ch/2432601827	MHNG-MAM-1971.068	MHNG 1971.068								96557540-c12e-4d0a-9f8d-6f9a2ff732f5	id.gbif.ch/1698496612					
id.gbif.ch/3151586005	Organism			MHNG	id.gbif.ch/44776251	MHNG		MHNG-MAMO	id.gbif.ch/2432601827	MHNG-MAM-326.028	MHNG 326.028								12886d8a-42c6-461c-a87b-bf557fcf263b	id.gbif.ch/1930991717					
id.gbif.ch/310662365	DNA Sample			MHNG	id.gbif.ch/44776251					MHNG-DNA-1	TA10.06								17050121-aac8-4784-aef8-094c4268e7b0	id.gbif.ch/1094866442	id.gbif.ch/4109704260	sampledFrom			
id.gbif.ch/1723337237	Part of Organism			MHNG	id.gbif.ch/44776251	MHNG		MHNG-MAMO	id.gbif.ch/2432601827	MHNG-MAM-1079.094	MHNG 1079.094		complete						641cb479-2be0-4605-9d6e-accae0ebf40c	id.gbif.ch/1044215467					id.gbif.ch/989939123
id.gbif.ch/737579597	Part of Organism			MHNG	id.gbif.ch/44776251	MHNG		MHNG-MAMO	id.gbif.ch/2432601827	MHNG-MAM-1079.094	MHNG 1079.094		Skull						641cb479-2be0-4605-9d6e-accae0ebf40c	id.gbif.ch/1044215467					id.gbif.ch/989939123
id.gbif.ch/3337535157	Part of Organism			MHNG	id.gbif.ch/44776251	MHNG		MHNG-MAMO	id.gbif.ch/2432601827	MHNG-MAM-1714.044	MHNG 1714.044		complete						9fef52ed-c8bb-4e5a-a14c-e69b4b2f01e6	id.gbif.ch/412963505					id.gbif.ch/2281451594
id.gbif.ch/1202397484	Part of Organism			MHNG	id.gbif.ch/44776251	MHNG		MHNG-MAMO	id.gbif.ch/2432601827	MHNG-MAM-1714.044	MHNG 1714.044		Skull						9fef52ed-c8bb-4e5a-a14c-e69b4b2f01e6	id.gbif.ch/412963505					id.gbif.ch/2281451594
id.gbif.ch/4229562337	Part of Organism			MHNG	id.gbif.ch/44776251	MHNG		MHNG-MAMO	id.gbif.ch/2432601827	MHNG-MAM-1804.094	MHNG 1804.094		Skull						89f92b69-3996-4130-b588-b91072df81ba	id.gbif.ch/925594731					id.gbif.ch/2062472674
id.gbif.ch/3468126178	Part of Organism			MHNG	id.gbif.ch/44776251	MHNG		MHNG-MAMO	id.gbif.ch/2432601827	MHNG-MAM-1804.094	MHNG 1804.094		complete						89f92b69-3996-4130-b588-b91072df81ba	id.gbif.ch/925594731					id.gbif.ch/2062472674
id.gbif.ch/2526051805	Part of Organism			MHNG	id.gbif.ch/44776251	MHNG		MHNG-MAMO	id.gbif.ch/2432601827	MHNG-MAM-1813.044	MHNG 1813.044		Skin						cdede25c-21b4-41ec-adef-a6c324c38c34	id.gbif.ch/3820064325					id.gbif.ch/397850255
id.gbif.ch/42304014	Part of Organism			MHNG	id.gbif.ch/44776251	MHNG		MHNG-MAMO	id.gbif.ch/2432601827	MHNG-MAM-1813.044	MHNG 1813.044		Skull						cdede25c-21b4-41ec-adef-a6c324c38c34	id.gbif.ch/3820064325					id.gbif.ch/397850255
