material_entity_id	material_entity_type	material_entity_type_iri	material_entity_type_vocabulary	institution_code	institution_id	owner_institution_code	owner_institution_id	collection_code	collection_id	catalog_number	other_catalog_numbers	record_number	preparations	disposition	verbatim_label	associated_sequences	material_citation	material_entity_remarks	material_gathering_id	evidence_for_occurrence_id	derived_from_material_entity_id	derivation_type	derivation_type_iri	derivation_type_vocabulary	part_of_material_entity_id
ECOSUR-SC:ECOAB:11952	Organism			ECOSUR-SC				ECOAB		11952	ECOSUR-SC:ECOAB:11952								15c72ab7-2ff1-457f-bf1a-85e59e15aee4	dd90db8b-9c76-4d0b-9014-5f00924c0990					
ECOSUR-SC:ECOAB:200062	Organism			ECOSUR-SC				ECOAB		200062	ECOSUR-SC:ECOAB:200062								769f1e0c-c054-423a-a896-2f99e4b74add	43e5d129-b680-4e0a-a83d-edd6cfab940b					
ECOSUR-SC:ECOAB:10125	Organism			ECOSUR-SC				ECOAB		10125	ECOSUR-SC:ECOAB:10125								e2c3e429-784a-490a-b027-72bf1d9e46ee	506694eb-3b9a-40a0-b7aa-6602b0847774					
ECOSUR-SC:ECOAB:10139	Organism			ECOSUR-SC				ECOAB		10139	ECOSUR-SC:ECOAB:10139								985577f5-ec3e-4044-b8dc-0393579503fb	8ab4cb60-ecf5-4f90-bcf3-2566b632a00f					
ECOSUR-SC:ECOAB:10140	Organism			ECOSUR-SC				ECOAB		10140	ECOSUR-SC:ECOAB:10140								93e75d33-3bfb-43d8-bd8a-eb4d25461a91	1a981dab-9e07-414b-b056-852a5894528d					
ECOSUR-SC:ECOAB:10238	Organism			ECOSUR-SC				ECOAB		10238	ECOSUR-SC:ECOAB:10238								4cb46cea-93ec-4ec0-bc41-37faea4345f7	4fddcbdf-f63b-43e7-a80f-5a7335829051					
ECOSUR-SC:ECOAB:10242	Organism			ECOSUR-SC				ECOAB		10242	ECOSUR-SC:ECOAB:10242								edb50fea-5f32-47a3-adea-3daf5662b9be	6081cf21-6e93-4d9c-bf13-ae1434cd0df6					
ECOSUR-SC:ECOAB:10346	Organism			ECOSUR-SC				ECOAB		10346	ECOSUR-SC:ECOAB:10346								3e89b4fe-8739-4ba8-86bb-f5fac5220485	c12a5c9e-8fbb-429d-b2e5-d739b260d7ff					
ECOSUR-SC:ECOAB:10347	Organism			ECOSUR-SC				ECOAB		10347	ECOSUR-SC:ECOAB:10347								da2cfd7d-7803-43e2-9a66-035af1c26821	a40ec821-1c2e-4463-9bbf-14a752fd1adb					
ECOSUR-SC:ECOAB:10416	Organism			ECOSUR-SC				ECOAB		10416	ECOSUR-SC:ECOAB:10416								0ff6d28e-cc3f-4cde-ac9d-b4516dcd3783	395e7102-8934-4bcf-bdc4-9fbcc4d067a6					
ECOSUR-SC:ECOAB:10423	Organism			ECOSUR-SC				ECOAB		10423	ECOSUR-SC:ECOAB:10423								29e2d8ca-f227-4b51-8070-d14848ec309f	f965b743-73ee-4e0b-9719-c535f5cbac8a					
ECOSUR-SC:ECOAB:10453	Organism			ECOSUR-SC				ECOAB		10453	ECOSUR-SC:ECOAB:10453								55c4a01d-0e42-4a17-9b3b-81b6d1758a92	57335a4a-0713-4aa8-8148-8f621065a6af					
ECOSUR-SC:ECOAB:10455	Organism			ECOSUR-SC				ECOAB		10455	ECOSUR-SC:ECOAB:10455								c37eda47-f137-4b94-91fa-7e68b6af1dde	aa4e07fd-1d5e-4f93-a24e-74f847f3dcb5					
ECOSUR-SC:ECOAB:10470	Organism			ECOSUR-SC				ECOAB		10470	ECOSUR-SC:ECOAB:10470								9e2ee17e-9e82-45c9-a039-113481faf7c0	274f7e0a-e677-40b2-8bb3-030e053a6c43					
ECOSUR-SC:ECOAB:10472	Organism			ECOSUR-SC				ECOAB		10472	ECOSUR-SC:ECOAB:10472								3f427b5f-5943-4dc3-858d-9d976741281b	af24dd51-c022-4c29-8222-ecee71bd70fd					
ECOSUR-SC:ECOAB:10594	Organism			ECOSUR-SC				ECOAB		10594	ECOSUR-SC:ECOAB:10594								5d6d8d7b-5054-4325-acff-b82b72b24844	6a192ca5-0878-4d3c-a916-a108c3392877					
ECOSUR-SC:ECOAB:10657	Organism			ECOSUR-SC				ECOAB		10657	ECOSUR-SC:ECOAB:10657								c68682ac-34a2-429b-a90f-23dc827de740	2e4025b8-2790-41e8-809e-404e17fe0096					
ECOSUR-SC:ECOAB:1114	Organism			ECOSUR-SC				ECOAB		1114	ECOSUR-SC:ECOAB:1114								aff20e05-d434-4126-9903-1711aabc031f	ec7f8a5f-83d3-413f-98c9-b23c8ec01b53					
ECOSUR-SC:ECOAB:1123	Organism			ECOSUR-SC				ECOAB		1123	ECOSUR-SC:ECOAB:1123								a070d718-ba2f-424d-ac55-e67ba399fdc0	58af3d14-e5a1-468a-b033-1cee59331bca					
ECOSUR-SC:ECOAB:943	Organism			ECOSUR-SC				ECOAB		943	ECOSUR-SC:ECOAB:943								9f5bf7bc-84f4-4554-8f27-e40aeb336245	305d3713-7e2e-4b2f-ab9b-d7df15c90cfa					
ECOSUR-SC:ECOAB:1124	Organism			ECOSUR-SC				ECOAB		1124	ECOSUR-SC:ECOAB:1124								38f4ec1a-8ad4-405a-8bc3-c64d272e7af4	d826128e-9417-4918-bbac-a99dd3eafbe6					
ECOSUR-SC:ECOAB:1125	Organism			ECOSUR-SC				ECOAB		1125	ECOSUR-SC:ECOAB:1125								bb153c74-c5fc-4424-ba74-03920273bbfc	a28a6b0b-7952-4d1f-8254-041919157bb5					
ECOSUR-SC:ECOAB:1126	Organism			ECOSUR-SC				ECOAB		1126	ECOSUR-SC:ECOAB:1126								229a4187-f486-4e0a-9bdb-35e0a032844c	dfc89201-952e-455d-977f-c78a23cbf05d					
ECOSUR-SC:ECOAB:1127	Organism			ECOSUR-SC				ECOAB		1127	ECOSUR-SC:ECOAB:1127								7bb7b0ff-1e99-4c17-a0ec-5eb4c8aa8ab8	d1ea1d2d-4e6c-43ff-a12f-083397baa897					
ECOSUR-SC:ECOAB:1128	Organism			ECOSUR-SC				ECOAB		1128	ECOSUR-SC:ECOAB:1128								7cc8d486-9623-436f-864b-e26d49141b33	6601abde-5ff5-45e3-8f4a-a2b46e179558					
ECOSUR-SC:ECOAB:1130	Organism			ECOSUR-SC				ECOAB		1130	ECOSUR-SC:ECOAB:1130								994cdadd-122f-4064-857b-fe634b227a8b	0917dd36-b879-4c6d-bb58-9464d9757d45					
ECOSUR-SC:ECOAB:1131	Organism			ECOSUR-SC				ECOAB		1131	ECOSUR-SC:ECOAB:1131								1dbf2beb-a68f-4b09-8e34-a7d29ea07173	a5eb3f50-667a-4829-bf30-ac94cbb2581c					
ECOSUR-SC:ECOAB:1132	Organism			ECOSUR-SC				ECOAB		1132	ECOSUR-SC:ECOAB:1132								32f55f25-f5fd-4b97-8c73-7177fa094049	ab0d513b-6ae7-4f1e-83c0-6518ae58c1d2					
ECOSUR-SC:ECOAB:1133	Organism			ECOSUR-SC				ECOAB		1133	ECOSUR-SC:ECOAB:1133								ab489dd6-1afe-45c4-8c69-d77772466ba4	bf32e9a2-8a40-4e6d-b928-1b15ec4b0a54					
ECOSUR-SC:ECOAB:1136	Organism			ECOSUR-SC				ECOAB		1136	ECOSUR-SC:ECOAB:1136								1b7e836e-8e39-4e18-bb29-1f1190f8e715	6d0a0c46-0fce-408a-86e1-9d8445f5cc77					
