assertion_id	assertion_target_id	assertion_target_type	assertion_type	assertion_type_iri	assertion_type_vocabulary	assertion_made_date	assertion_effective_date	assertion_value	assertion_value_numeric	assertion_unit	assertion_unit_iri	assertion_unit_vocabulary	assertion_by	assertion_by_id	assertion_protocol	assertion_protocol_id	assertion_citation	assertion_remarks
06e92816-fec4-4bda-b65e-7503014556b7	BIGC.20190422.01	Event	measuredReachLength						105	m								
8ccd549e-0d19-47e8-82a4-313e2f5bb9d2	BIGC.20190423.04	Event	measuredReachLength						100	m								
3d345f10-0619-4e39-ad95-3baac64aadfd	BIGC.20190424.07	Event	measuredReachLength						90	m								
28080908-b360-482a-a9a1-899b80770cd8	BIGC.20190424.05	Event	measuredReachLength						100	m								
425fb368-2829-44b2-8ec5-d8602ac480a6	BIGC.20190425.09	Event	measuredReachLength						100	m								
53e2c002-80ad-44d9-8df9-6f1fc18b32fe	BIGC.20190425.08	Event	measuredReachLength						100	m								
25663d55-e326-404c-a7ff-32c44a5fc3a7	BIGC.20191021.01	Event	measuredReachLength						102	m								
c5f5153d-4967-434e-be76-8f05dc398bbc	BIGC.20191022.04	Event	measuredReachLength						102	m								
9532961e-8f6f-4512-8431-f1e39d3832b0	BIGC.20191023.07	Event	measuredReachLength						100	m								
9220b57e-75d3-4b12-86fa-2d6329452a64	BIGC.20191023.05	Event	measuredReachLength						100	m								
ee50f4f5-5162-4a6d-bf60-746b237965c1	BIGC.20191024.09	Event	measuredReachLength						100	m								
2e8145fc-7ff5-45d0-9f70-9d218190e65e	BIGC.20191024.08	Event	measuredReachLength						100	m								
1b96c468-03b8-4f3f-9f4f-9c1532d9eb04	BIGC.20190422.01	Event	fixedRandomReach					fixed										
40c13bd2-abba-4277-8e09-d903d694fa28	BIGC.20190423.04	Event	fixedRandomReach					fixed										
2d9f6b37-fb9d-4ce4-a177-87bd57404583	BIGC.20190424.07	Event	fixedRandomReach					fixed										
58e4035a-47d9-4fb0-b45f-909bf316337a	BIGC.20190424.05	Event	fixedRandomReach					random										
7ad91fbc-076d-4d5f-b82c-bc70683018d3	BIGC.20190425.09	Event	fixedRandomReach					random										
79c87137-3a0e-40c2-b045-6d6209154acd	BIGC.20190425.08	Event	fixedRandomReach					random										
015cba42-8a59-4b48-acd3-74146cf37108	BIGC.20191021.01	Event	fixedRandomReach					fixed										
23106b80-f88c-41a9-aab5-8def58d4ba12	BIGC.20191022.04	Event	fixedRandomReach					fixed										
eeae6be9-90c4-4178-a663-44de4609e721	BIGC.20191023.07	Event	fixedRandomReach					fixed										
bc6f2889-630b-41d4-ad13-d32fa679611c	BIGC.20191023.05	Event	fixedRandomReach					random										
7b42d322-5d1a-41e2-b7e9-679b385e7b94	BIGC.20191024.09	Event	fixedRandomReach					random										
25d2646e-94db-4d69-8c89-96ca11941502	BIGC.20191024.08	Event	fixedRandomReach					random										
a871d371-76a1-40de-801a-aa4ca5b2ed6c	BIGC.20190422.01.1.e-fisher	Event	passNumber						1									
b7b5241b-0c3f-4758-9348-0d6b54c135ef	BIGC.20190422.01.2.e-fisher	Event	passNumber						2									
6dfa8920-2393-44d8-8f22-9018d5c16daa	BIGC.20190422.01.3.e-fisher	Event	passNumber						3									
5498062b-2256-489a-a89b-8686dcbf0844	BIGC.20190423.04.1.e-fisher	Event	passNumber						1									
57d898e0-e4ff-467f-91fb-4bbd0c93dcec	BIGC.20190423.04.2.e-fisher	Event	passNumber						2									
e75364a6-1eee-46c3-b668-a05bba01fe95	BIGC.20190423.04.3.e-fisher	Event	passNumber						3									
4d1e1058-da05-4adb-ae40-a9d3c3f97980	BIGC.20190424.05.1.e-fisher	Event	passNumber						1									
0dc8fc13-913f-4943-b49b-96dbab4191e3	BIGC.20190424.07.1.e-fisher	Event	passNumber						1									
ab25de73-41cb-4636-aaf5-23f4f4a4d0b0	BIGC.20190424.07.2.e-fisher	Event	passNumber						2									
4ba8d16c-9d85-4274-999a-3dee2372b3f2	BIGC.20190424.07.3.e-fisher	Event	passNumber						3									
b61a455a-15b3-4c7e-ac36-03bba99b9e9c	BIGC.20190425.08.1.e-fisher	Event	passNumber						1									
6bfa0e75-4735-4dc4-8dc3-914e18cd903e	BIGC.20190425.09.1.e-fisher	Event	passNumber						1									
57aebbc6-cd90-41a9-a358-d6f4aadd6fd1	BIGC.20191021.01.1.e-fisher	Event	passNumber						1									
035471c8-72e3-47bd-99e9-08b34bfed14d	BIGC.20191021.01.2.e-fisher	Event	passNumber						2									
61f04d44-5b9e-4f09-af8c-f3e5566939cc	BIGC.20191021.01.3.e-fisher	Event	passNumber						3									
2d11c51e-1e38-4049-ac33-559e8f258b6d	BIGC.20191022.04.1.e-fisher	Event	passNumber						1									
368747b9-3467-4f73-892a-5dd7f3f0a79b	BIGC.20191022.04.2.e-fisher	Event	passNumber						2									
cfef1891-1726-4abd-af68-e8af3a919940	BIGC.20191022.04.3.e-fisher	Event	passNumber						3									
a67bac8e-0dac-4392-9fc6-a4e738ffa39d	BIGC.20191023.05.1.e-fisher	Event	passNumber						1									
4e49351e-76dc-46e7-899c-f19a011b3a6f	BIGC.20191023.07.1.e-fisher	Event	passNumber						1									
c3db02e3-42d6-4f63-a165-fe0efd0a3a73	BIGC.20191023.07.2.e-fisher	Event	passNumber						2									
502590d2-ef0c-47d0-a3d3-59d65e111fad	BIGC.20191023.07.3.e-fisher	Event	passNumber						3									
1a4515af-5cfc-4a83-afdf-3d34de54c6e3	BIGC.20191024.08.1.e-fisher	Event	passNumber						1									
551991d5-6ac5-496d-b3c0-12e1b7249092	BIGC.20191024.09.1.e-fisher	Event	passNumber						1									
8cbc0b84-5445-4878-bceb-8bce2c9336c1	BIGC.20190422.01.1.e-fisher	Event	waterTemp						8.9	C								
c08943d6-9737-46c6-a5d8-23d415ac0383	BIGC.20190422.01.2.e-fisher	Event	waterTemp						11.7	C								
d5250c63-1c40-4187-b55e-dec94392e269	BIGC.20190422.01.3.e-fisher	Event	waterTemp						11.8	C								
f1e4423c-10db-45f1-9c7f-572689dd8303	BIGC.20190423.04.1.e-fisher	Event	waterTemp						9.2	C								
35421e5f-055b-4a23-ba51-e39dff5ed9dd	BIGC.20190423.04.2.e-fisher	Event	waterTemp						12.3	C								
ba4e51d4-b813-460f-aa0f-6cd55cc19e15	BIGC.20190423.04.3.e-fisher	Event	waterTemp						12.2	C								
d2b18018-9aac-44f3-8edb-7bd9a09349e0	BIGC.20190424.05.1.e-fisher	Event	waterTemp						9.8	C								
736e5f44-b996-4113-aa8a-e59a5cfa3a91	BIGC.20190424.07.1.e-fisher	Event	waterTemp						13.4	C								
35813e27-3ce8-4ba8-a7a4-0d485b556cc0	BIGC.20190424.07.2.e-fisher	Event	waterTemp						13.3	C								
be02544d-455c-47a0-b8e7-427fd0475421	BIGC.20190424.07.3.e-fisher	Event	waterTemp						13	C								
f7d41698-dd9e-4bc6-81ca-5a8fadb4345c	BIGC.20190425.08.1.e-fisher	Event	waterTemp						10.4	C								
311a0136-40af-4489-a6de-fe984ef83d99	BIGC.20190425.09.1.e-fisher	Event	waterTemp						13.6	C								
fb602159-6872-4e2c-9e79-2970d8bdf63d	BIGC.20191021.01.1.e-fisher	Event	waterTemp						8.7	C								
9ef56e7e-3e98-4511-8c0f-38e972305b04	BIGC.20191021.01.2.e-fisher	Event	waterTemp						8.7	C								
86a62745-bf3e-47db-84c3-17ea3492585b	BIGC.20191021.01.3.e-fisher	Event	waterTemp						8.7	C								
bedabf63-57c6-4589-aa25-b11b0d84647c	BIGC.20191022.04.1.e-fisher	Event	waterTemp						9.3	C								
f59a18c7-b404-450b-aa52-47c7c5daea3d	BIGC.20191022.04.2.e-fisher	Event	waterTemp						9.3	C								
2e94288d-84ec-4c28-adef-5c38bc541c43	BIGC.20191022.04.3.e-fisher	Event	waterTemp						9.3	C								
596ee74f-1ccf-427f-a223-5741c9f49551	BIGC.20191023.05.1.e-fisher	Event	waterTemp						9.7	C								
27ec861e-8637-48e3-a086-24d0a2915c78	BIGC.20191023.07.1.e-fisher	Event	waterTemp						10.8	C								
e5ae526e-bf1a-4c9e-b6ac-78ddd3b2197b	BIGC.20191023.07.2.e-fisher	Event	waterTemp						10.8	C								
c21d1610-85eb-471f-a356-572c80c7a826	BIGC.20191023.07.3.e-fisher	Event	waterTemp						10.8	C								
3f499326-8bb2-425a-8b4f-2f521464ade3	BIGC.20191024.08.1.e-fisher	Event	waterTemp						9.8	C								
02ec0362-b5a1-438f-9263-afe185d6683a	BIGC.20191024.09.1.e-fisher	Event	waterTemp						10.6	C								
325ceb78-2bcd-40dc-b5b3-35b33fbd5969	BIGC.20190422.01.1.e-fisher	Event	dissolvedOxygen						10.3	%								
8587a813-f17c-4e78-91e4-ef6ce49c49ee	BIGC.20190422.01.2.e-fisher	Event	dissolvedOxygen						9.1	%								
743ea29c-fd49-4e5a-9274-49ad2525ed1a	BIGC.20190422.01.3.e-fisher	Event	dissolvedOxygen						9.5	%								
1982719d-b357-4c53-8473-ff5ec5180c7a	BIGC.20190423.04.1.e-fisher	Event	dissolvedOxygen						9.6	%								
015e5e22-028d-4ea9-8c73-e404c53e9970	BIGC.20190423.04.2.e-fisher	Event	dissolvedOxygen						9.1	%								
e8ae30ad-f55b-48bf-9b29-047e5fa28bab	BIGC.20190423.04.3.e-fisher	Event	dissolvedOxygen						9	%								
a2d30c35-a8af-4349-b269-4792fbc5a086	BIGC.20190424.05.1.e-fisher	Event	dissolvedOxygen						10.3	%								
3c495add-0c47-4d58-a218-8222cc29425e	BIGC.20190424.07.1.e-fisher	Event	dissolvedOxygen						10	%								
801a61cc-ac48-4135-9bc2-c9b551b555d4	BIGC.20190424.07.2.e-fisher	Event	dissolvedOxygen						10.9	%								
7ad27b54-12af-4da3-b84c-08ff39d17dfe	BIGC.20190424.07.3.e-fisher	Event	dissolvedOxygen						9.7	%								
41221bfb-88c3-4f6a-81da-c6332d1a7617	BIGC.20190425.08.1.e-fisher	Event	dissolvedOxygen						9.1	%								
cb5145ce-0ed1-4e95-b347-1c49d6a6dbbd	BIGC.20190425.09.1.e-fisher	Event	dissolvedOxygen						9.1	%								
327000e0-7c5f-43af-9d71-9fc1eb6fcf0e	BIGC.20191021.01.1.e-fisher	Event	dissolvedOxygen						8.8	%								
3d65d00c-4842-4ed6-9587-b56c3a58ce48	BIGC.20191021.01.2.e-fisher	Event	dissolvedOxygen						8.8	%								
4cf16e06-9b4c-4dd7-9a1d-47f92774e4cc	BIGC.20191021.01.3.e-fisher	Event	dissolvedOxygen						8.8	%								
e5273bb6-807e-46b1-83db-99ac6980b904	BIGC.20191022.04.1.e-fisher	Event	dissolvedOxygen						8	%								
86665037-b097-4752-ae44-523c955546ca	BIGC.20191022.04.2.e-fisher	Event	dissolvedOxygen						8	%								
b42a3703-aaf3-42eb-b95a-84cb031a2b9c	BIGC.20191022.04.3.e-fisher	Event	dissolvedOxygen						8	%								
cc767995-d5c3-421b-9ccc-f3aae9220044	BIGC.20191023.05.1.e-fisher	Event	dissolvedOxygen						8.7	%								
30e9d74c-abd4-47a0-bc0f-ded7ff9bc76a	BIGC.20191023.07.1.e-fisher	Event	dissolvedOxygen						9.1	%								
276efc6a-41b1-4caf-9bbe-13ffa5f7904d	BIGC.20191023.07.2.e-fisher	Event	dissolvedOxygen						9.1	%								
6ba5146d-6459-4a44-8001-9384501b5092	BIGC.20191023.07.3.e-fisher	Event	dissolvedOxygen						9.1	%								
6075ff6f-c9f0-4482-9ade-691e23bff71c	BIGC.20191024.08.1.e-fisher	Event	dissolvedOxygen						8.6	%								
982f33f3-7a20-4f82-99cd-22801c8f1d21	BIGC.20191024.09.1.e-fisher	Event	dissolvedOxygen						9.2	%								
2fcfb981-022b-467d-bcf3-16392c3c21c1	BIGC.20190422.01.1.e-fisher	Event	specificConductance						75.6	cm^-1 Ω^-1								
38f674c2-2c6d-44dd-b2bd-c6645cd6d160	BIGC.20190422.01.2.e-fisher	Event	specificConductance						77.3	cm^-1 Ω^-1								
25b40e87-46df-4c5a-bf82-8b021b3ae3b6	BIGC.20190422.01.3.e-fisher	Event	specificConductance						77.8	cm^-1 Ω^-1								
9cfc20c1-ac77-4e95-b608-aa6e10a62b4f	BIGC.20190423.04.1.e-fisher	Event	specificConductance						76.9	cm^-1 Ω^-1								
b8ccdf61-f4ed-435f-acf3-f5b2437c0104	BIGC.20190423.04.2.e-fisher	Event	specificConductance						77.2	cm^-1 Ω^-1								
53152a40-f38d-4e00-b3e6-debc5adfa484	BIGC.20190423.04.3.e-fisher	Event	specificConductance						76.5	cm^-1 Ω^-1								
872cb974-92f3-47cb-b7ae-42a6650c5223	BIGC.20190424.05.1.e-fisher	Event	specificConductance						78.4	cm^-1 Ω^-1								
be8db21d-337c-4b5b-be36-2776c22bb48d	BIGC.20190424.07.1.e-fisher	Event	specificConductance						79.8	cm^-1 Ω^-1								
56c7a23d-1cbb-43c3-9e56-afae7524417a	BIGC.20190424.07.2.e-fisher	Event	specificConductance						78.9	cm^-1 Ω^-1								
c9db1dd8-a254-4b09-9ab2-528e4dde3bc3	BIGC.20190424.07.3.e-fisher	Event	specificConductance						78.6	cm^-1 Ω^-1								
5636f70b-5db9-4428-8389-2f419c46b4b6	BIGC.20190425.08.1.e-fisher	Event	specificConductance						78.6	cm^-1 Ω^-1								
7c98eb41-eb3b-4450-89c0-bbf404c80d98	BIGC.20190425.09.1.e-fisher	Event	specificConductance						79.5	cm^-1 Ω^-1								
bbbbb399-f9bc-4999-9a4d-48bfc2787545	BIGC.20191021.01.1.e-fisher	Event	specificConductance						157	cm^-1 Ω^-1								
b9e2750c-775e-497a-9dcd-563b3b3afdf9	BIGC.20191021.01.2.e-fisher	Event	specificConductance						157	cm^-1 Ω^-1								
2e0f6e66-4a0c-4ddb-84aa-0befc69326b9	BIGC.20191021.01.3.e-fisher	Event	specificConductance						157	cm^-1 Ω^-1								
