material_entity_id	material_entity_type	material_entity_type_iri	material_entity_type_vocabulary	institution_code	institution_id	owner_institution_code	owner_institution_id	collection_code	collection_id	catalog_number	other_catalog_numbers	record_number	preparations	disposition	verbatim_label	associated_sequences	material_citation	material_entity_remarks	material_gathering_id	evidence_for_occurrence_id	derived_from_material_entity_id	derivation_type	derivation_type_iri	derivation_type_vocabulary	part_of_material_entity_id
FSH.BIGC.01.20190422.1.0027	Organism			NEON		NEON		FSH		FSH.BIGC.01.20190422.1.0027			voucher sample only						718252dc-ed23-44fc-849e-d5b4edf5bd15	088d725b-4723-4503-aa50-ac647cda26e1					
FSH.BIGC.01.20190422.3.0010	Organism			NEON		NEON		FSH		FSH.BIGC.01.20190422.3.0010			voucher sample only						6504203f-641a-4cd4-a6f7-e23f42126bd9	2aa28faa-ff62-4f54-b2b2-2cc521afeff7					
FSH.BIGC.04.20190423.1.0016	Organism			NEON		NEON		FSH		FSH.BIGC.04.20190423.1.0016			both voucher and dna samples collected						212e8e46-07c1-446e-bbb9-9db25c202801	23979ffe-ecef-4846-b9fd-e4f1db95a169					
FSH.BIGC.07.20190424.3.0007	Organism			NEON		NEON		FSH		FSH.BIGC.07.20190424.3.0007			voucher sample only						e1b1683a-56f8-4f7d-9998-146ab6dc00a5	fdf426f1-40db-4253-931a-e03eaaadef54					
FSH.BIGC.08.20190425.1.0040	Organism			NEON		NEON		FSH		FSH.BIGC.08.20190425.1.0040			both voucher and dna samples collected						c16f84ab-d64e-473b-9dad-e843da4c3dbd	1cdcb62d-ba69-45c2-a541-f2270e54b60b					
FSH.BIGC.04.20191022.1.0055	Organism			NEON		NEON		FSH		FSH.BIGC.04.20191022.1.0055			dna sample only						6ed18526-9604-43ac-a3c9-a0412e9bfaf5	b0ea0447-21e7-497a-8242-963d326f6523					
FSH.BIGC.04.20191022.1.0015	Organism			NEON		NEON		FSH		FSH.BIGC.04.20191022.1.0015			dna sample only						13c842b6-4922-4146-988f-40521a2eae81	ffff47ee-26c4-458c-ba0b-4c53778d7389					
FSH.BIGC.04.20191022.1.0034	Organism			NEON		NEON		FSH		FSH.BIGC.04.20191022.1.0034			dna sample only						98044487-4f79-4d1b-a3a1-fdce8c4fc8a6	5d8d3312-8131-4baa-ac07-3fd9e5ce31c3					
FSH.BIGC.04.20191022.1.0054	Organism			NEON		NEON		FSH		FSH.BIGC.04.20191022.1.0054			dna sample only						8a5b8675-a393-4112-b6f9-1e18fa089c62	5e8a5f54-fc51-42c3-a0dd-2a10d8c3e801					
FSH.BIGC.04.20191022.1.0046	Organism			NEON		NEON		FSH		FSH.BIGC.04.20191022.1.0046			dna sample only						66c79a05-4bf4-4387-8304-05ae12a99165	c4f811c7-69a8-41dc-ad03-ab8e59c0facc					
FSH.BIGC.04.20191022.1.0016	Organism			NEON		NEON		FSH		FSH.BIGC.04.20191022.1.0016			dna sample only						870c4a30-e2e0-4cd9-9854-c46cd033e8be	f861ae28-e1a5-473b-ba7b-88740dc62a1d					
FSH.BIGC.04.20191022.1.0014	Organism			NEON		NEON		FSH		FSH.BIGC.04.20191022.1.0014			dna sample only						c4374139-5777-420f-b90d-1f1e3fb8102e	5fb49ce0-5ca6-4751-a7c7-0734c44487e1					
FSH.BIGC.04.20191022.1.0026	Organism			NEON		NEON		FSH		FSH.BIGC.04.20191022.1.0026			dna sample only						88f2c516-4d05-4616-8845-7ef7f76678a9	9c72ada0-0e23-46a1-9f5f-1daf8d179440					
FSH.BIGC.04.20191022.2.0026	Organism			NEON		NEON		FSH		FSH.BIGC.04.20191022.2.0026			voucher sample only						b9610c61-9f87-4272-9256-b1da40c06587	7551dfbb-9e77-4576-a5ef-9030fdf1ee66					
FSH.BIGC.04.20191022.2.0005	Organism			NEON		NEON		FSH		FSH.BIGC.04.20191022.2.0005			voucher sample only						c93a658a-6259-4d3e-956a-a31d34f6161e	da25573a-534a-40b3-88e7-b455280cac51					
FSH.BIGC.05.20191023.1.0041	Organism			NEON		NEON		FSH		FSH.BIGC.05.20191023.1.0041			dna sample only						449d999d-5c7c-49dd-a5fc-eab1fc5565ae	0c4127ce-225e-4824-aded-ed0c4ea65889					
FSH.BIGC.09.20191024.1.0051	Organism			NEON		NEON		FSH		FSH.BIGC.09.20191024.1.0051			voucher sample only						ab297884-06ca-4c86-bf47-d394c83f98c4	1eaf164c-e77d-49fa-800d-781a2e2c082b					
FSH.BIGC.09.20191024.1.0042	Organism			NEON		NEON		FSH		FSH.BIGC.09.20191024.1.0042			voucher sample only						3cf3ea5f-946e-499f-8ab6-5203543a7200	3107cb04-e520-4fc3-a7f1-c1b21396f305					
FSH.BIGC.04.20190423.1.0016.DNA	DNA			NEON		NEON		FSH		FSH.BIGC.04.20190423.1.0016.DNA			DNA sample						212e8e46-07c1-446e-bbb9-9db25c202801	23979ffe-ecef-4846-b9fd-e4f1db95a169	FSH.BIGC.04.20190423.1.0016	DNA extraction			
FSH.BIGC.08.20190425.1.0040.DNA	DNA			NEON		NEON		FSH		FSH.BIGC.08.20190425.1.0040.DNA			DNA sample						c16f84ab-d64e-473b-9dad-e843da4c3dbd	1cdcb62d-ba69-45c2-a541-f2270e54b60b	FSH.BIGC.08.20190425.1.0040	DNA extraction			
FSH.BIGC.04.20191022.1.0055.DNA	DNA			NEON		NEON		FSH		FSH.BIGC.04.20191022.1.0055.DNA			DNA sample						6ed18526-9604-43ac-a3c9-a0412e9bfaf5	b0ea0447-21e7-497a-8242-963d326f6523	FSH.BIGC.04.20191022.1.0055	DNA extraction			
FSH.BIGC.04.20191022.1.0015.DNA	DNA			NEON		NEON		FSH		FSH.BIGC.04.20191022.1.0015.DNA			DNA sample						13c842b6-4922-4146-988f-40521a2eae81	ffff47ee-26c4-458c-ba0b-4c53778d7389	FSH.BIGC.04.20191022.1.0015	DNA extraction			
FSH.BIGC.04.20191022.1.0034.DNA	DNA			NEON		NEON		FSH		FSH.BIGC.04.20191022.1.0034.DNA			DNA sample						98044487-4f79-4d1b-a3a1-fdce8c4fc8a6	5d8d3312-8131-4baa-ac07-3fd9e5ce31c3	FSH.BIGC.04.20191022.1.0034	DNA extraction			
FSH.BIGC.04.20191022.1.0054.DNA	DNA			NEON		NEON		FSH		FSH.BIGC.04.20191022.1.0054.DNA			DNA sample						8a5b8675-a393-4112-b6f9-1e18fa089c62	5e8a5f54-fc51-42c3-a0dd-2a10d8c3e801	FSH.BIGC.04.20191022.1.0054	DNA extraction			
FSH.BIGC.04.20191022.1.0046.DNA	DNA			NEON		NEON		FSH		FSH.BIGC.04.20191022.1.0046.DNA			DNA sample						66c79a05-4bf4-4387-8304-05ae12a99165	c4f811c7-69a8-41dc-ad03-ab8e59c0facc	FSH.BIGC.04.20191022.1.0046	DNA extraction			
FSH.BIGC.04.20191022.1.0016.DNA	DNA			NEON		NEON		FSH		FSH.BIGC.04.20191022.1.0016.DNA			DNA sample						870c4a30-e2e0-4cd9-9854-c46cd033e8be	f861ae28-e1a5-473b-ba7b-88740dc62a1d	FSH.BIGC.04.20191022.1.0016	DNA extraction			
FSH.BIGC.04.20191022.1.0014.DNA	DNA			NEON		NEON		FSH		FSH.BIGC.04.20191022.1.0014.DNA			DNA sample						c4374139-5777-420f-b90d-1f1e3fb8102e	5fb49ce0-5ca6-4751-a7c7-0734c44487e1	FSH.BIGC.04.20191022.1.0014	DNA extraction			
FSH.BIGC.04.20191022.1.0026.DNA	DNA			NEON		NEON		FSH		FSH.BIGC.04.20191022.1.0026.DNA			DNA sample						88f2c516-4d05-4616-8845-7ef7f76678a9	9c72ada0-0e23-46a1-9f5f-1daf8d179440	FSH.BIGC.04.20191022.1.0026	DNA extraction			
FSH.BIGC.05.20191023.1.0041.DNA	DNA			NEON		NEON		FSH		FSH.BIGC.05.20191023.1.0041.DNA			DNA sample						449d999d-5c7c-49dd-a5fc-eab1fc5565ae	0c4127ce-225e-4824-aded-ed0c4ea65889	FSH.BIGC.05.20191023.1.0041	DNA extraction			
